Lead City,Sales Date,Sales Week,Leads Created,Leads accepted,Qualify_Confirm_Lead,Select_Partner,Install_Request,Installed
City 1,12/12/17,11/12/17,1,0,0,0,0,0
City 1,13-12-2017,11/12/17,6,6,3,3,3,1
City 1,13-12-2017,11/12/17,119,75,43,43,42,38
City 1,13-12-2017,11/12/17,1,1,1,1,1,1
City 1,14-12-2017,11/12/17,4,4,2,2,2,3
City 1,14-12-2017,11/12/17,88,74,39,40,39,35
City 1,14-12-2017,11/12/17,1,1,1,1,1,1
City 1,15-12-2017,11/12/17,8,3,1,1,0,0
City 1,15-12-2017,11/12/17,289,138,33,32,33,33
City 1,16-12-2017,11/12/17,5,4,2,2,2,2
City 1,16-12-2017,11/12/17,232,183,42,42,41,42
City 1,17-12-2017,11/12/17,6,5,2,2,2,1
City 1,17-12-2017,11/12/17,279,224,46,46,45,40
City 1,18-12-2017,18-12-2017,5,4,2,2,2,2
City 1,18-12-2017,18-12-2017,188,148,48,49,48,35
City 1,19-12-2017,18-12-2017,16,16,3,3,3,2
City 1,19-12-2017,18-12-2017,135,111,44,43,43,25
City 1,19-12-2017,18-12-2017,4,3,3,3,3,3
City 1,20-12-2017,18-12-2017,7,6,0,0,0,1
City 1,20-12-2017,18-12-2017,177,141,35,35,35,54
City 1,21-12-2017,18-12-2017,108,98,44,44,43,29
City 1,21-12-2017,18-12-2017,2,2,2,2,2,2
City 1,22-12-2017,18-12-2017,261,224,35,35,36,38
City 1,23-12-2017,18-12-2017,220,183,60,59,59,38
City 1,23-12-2017,18-12-2017,2,2,2,2,2,2
City 1,24-12-2017,18-12-2017,215,185,51,52,51,43
City 1,25-12-2017,25-12-2017,9,8,4,4,4,1
City 1,25-12-2017,25-12-2017,145,119,34,33,32,34
City 1,25-12-2017,25-12-2017,1,1,1,1,1,1
City 1,26-12-2017,25-12-2017,2,2,1,1,1,3
City 1,26-12-2017,25-12-2017,230,200,29,28,28,26
City 1,27-12-2017,25-12-2017,185,158,34,34,34,35
City 1,27-12-2017,25-12-2017,1,1,1,1,1,1
City 1,28-12-2017,25-12-2017,193,167,38,38,38,29
City 1,28-12-2017,25-12-2017,1,1,1,1,1,1
City 1,29-12-2017,25-12-2017,240,219,55,54,53,29
City 1,30-12-2017,25-12-2017,4,3,2,2,2,3
City 1,30-12-2017,25-12-2017,161,137,56,56,56,54
City 1,30-12-2017,25-12-2017,2,2,2,2,2,2
City 1,31-12-2017,25-12-2017,152,136,69,68,68,84
City 1,31-12-2017,25-12-2017,3,3,3,3,3,3
City 1,1/1/18,1/1/18,17,11,8,8,8,13
City 1,2/1/18,1/1/18,111,101,37,36,36,17
City 1,2/1/18,1/1/18,1,1,1,1,1,1
City 1,3/1/18,1/1/18,118,109,28,29,28,32
City 1,3/1/18,1/1/18,1,1,1,1,1,1
City 1,4/1/18,1/1/18,8,8,4,4,4,4
City 1,4/1/18,1/1/18,182,164,31,30,30,25
City 1,4/1/18,1/1/18,1,1,1,1,1,1
City 1,5/1/18,1/1/18,225,207,39,38,38,21
City 1,5/1/18,1/1/18,1,1,1,1,1,1
City 1,6/1/18,1/1/18,193,172,44,44,42,48
City 1,6/1/18,1/1/18,3,3,3,3,3,3
City 1,7/1/18,1/1/18,186,177,41,42,41,37
City 1,7/1/18,1/1/18,1,1,1,1,1,0
City 1,8/1/18,8/1/18,123,108,35,35,35,31
City 1,9/1/18,8/1/18,218,201,31,31,31,20
City 1,10/1/18,8/1/18,289,266,42,42,42,22
City 1,11/1/18,8/1/18,21,19,3,3,3,2
City 1,11/1/18,8/1/18,128,117,39,37,37,30
City 1,12/1/18,8/1/18,6,5,5,5,5,5
City 1,12/1/18,8/1/18,139,129,39,38,38,39
City 1,13-01-2018,8/1/18,21,21,2,2,2,2
City 1,13-01-2018,8/1/18,181,158,41,41,41,40
City 1,13-01-2018,8/1/18,1,1,1,1,1,1
City 1,14-01-2018,8/1/18,12,11,4,4,4,4
City 1,14-01-2018,8/1/18,154,144,38,37,37,35
City 1,15-01-2018,15-01-2018,20,16,5,5,5,3
City 1,15-01-2018,15-01-2018,112,97,29,28,28,27
City 1,15-01-2018,15-01-2018,2,1,1,1,1,1
City 1,16-01-2018,15-01-2018,26,26,4,4,4,4
City 1,16-01-2018,15-01-2018,168,159,36,36,36,28
City 1,16-01-2018,15-01-2018,1,1,1,1,1,1
City 1,17-01-2018,15-01-2018,7,7,3,3,3,2
City 1,17-01-2018,15-01-2018,140,128,33,32,32,35
City 1,17-01-2018,15-01-2018,1,1,1,1,1,1
City 1,18-01-2018,15-01-2018,17,16,3,3,3,3
City 1,18-01-2018,15-01-2018,248,233,31,29,29,27
City 1,18-01-2018,15-01-2018,3,2,2,2,2,2
City 1,19-01-2018,15-01-2018,15,13,4,4,4,4
City 1,19-01-2018,15-01-2018,177,162,29,29,29,21
City 1,20-01-2018,15-01-2018,5,5,5,5,5,4
City 1,20-01-2018,15-01-2018,159,150,53,52,52,52
City 1,20-01-2018,15-01-2018,5,2,1,1,1,0
City 1,21-01-2018,15-01-2018,41,41,6,6,6,5
City 1,21-01-2018,15-01-2018,287,263,28,28,28,27
City 1,22-01-2018,22-01-2018,1,1,1,1,1,1
City 1,22-01-2018,22-01-2018,98,91,27,26,26,18
City 1,22-01-2018,22-01-2018,3,1,1,1,1,1
City 1,23-01-2018,22-01-2018,2,2,2,2,2,2
City 1,23-01-2018,22-01-2018,38,35,18,11,11,15
City 1,24-01-2018,22-01-2018,10,9,1,0,0,0
City 1,24-01-2018,22-01-2018,91,84,30,21,21,16
City 1,24-01-2018,22-01-2018,1,1,1,1,1,1
City 1,25-01-2018,22-01-2018,3,3,2,2,2,2
City 1,25-01-2018,22-01-2018,93,83,24,19,19,16
City 1,26-01-2018,22-01-2018,2,2,2,2,2,1
City 1,26-01-2018,22-01-2018,54,50,25,25,24,19
City 1,27-01-2018,22-01-2018,2,2,1,1,1,2
City 1,27-01-2018,22-01-2018,68,60,32,29,29,26
City 1,28-01-2018,22-01-2018,7,6,6,5,5,5
City 1,28-01-2018,22-01-2018,74,62,28,26,26,23
City 1,29-01-2018,29-01-2018,9,8,7,6,6,5
City 1,29-01-2018,29-01-2018,43,36,30,30,29,24
City 1,29-01-2018,29-01-2018,1,1,1,1,1,1
City 1,30-01-2018,29-01-2018,13,13,4,4,4,5
City 1,30-01-2018,29-01-2018,55,45,28,25,24,21
City 1,30-01-2018,29-01-2018,2,2,2,2,2,2
City 1,31-01-2018,29-01-2018,9,7,5,4,4,3
City 1,31-01-2018,29-01-2018,81,58,29,27,27,21
City 1,31-01-2018,29-01-2018,1,1,1,1,1,1
City 1,1/2/18,29-01-2018,6,7,7,6,6,7
City 1,1/2/18,29-01-2018,101,89,55,47,46,30
City 1,1/2/18,29-01-2018,3,1,1,0,0,0
City 1,2/2/18,29-01-2018,10,10,3,3,3,2
City 1,2/2/18,29-01-2018,77,63,38,34,34,29
City 1,2/2/18,29-01-2018,3,2,2,2,2,2
City 1,3/2/18,29-01-2018,27,26,3,3,3,2
City 1,3/2/18,29-01-2018,303,258,60,57,57,49
City 1,3/2/18,29-01-2018,1,1,1,1,1,1
City 1,4/2/18,29-01-2018,8,8,8,8,8,7
City 1,4/2/18,29-01-2018,334,303,40,40,40,51
City 1,4/2/18,29-01-2018,1,1,1,1,1,1
City 1,5/2/18,5/2/18,4,4,4,4,4,3
City 1,5/2/18,5/2/18,36,34,16,14,14,17
City 1,5/2/18,5/2/18,3,2,2,2,2,2
City 1,6/2/18,5/2/18,7,7,1,1,1,1
City 1,6/2/18,5/2/18,121,108,35,35,34,28
City 1,6/2/18,5/2/18,1,1,1,1,1,1
City 1,7/2/18,5/2/18,3,3,3,3,3,1
City 1,7/2/18,5/2/18,90,84,45,45,45,3
City 1,8/2/18,5/2/18,39,37,4,4,4,0
City 1,8/2/18,5/2/18,129,117,28,25,25,1
City 1,8/2/18,5/2/18,2,2,2,2,2,0
City 1,9/2/18,5/2/18,3,3,2,2,2,6
City 1,9/2/18,5/2/18,66,54,37,35,35,82
City 1,9/2/18,5/2/18,1,1,1,1,1,3
City 1,10/2/18,5/2/18,10,9,9,9,9,3
City 1,10/2/18,5/2/18,214,192,58,57,57,43
City 1,10/2/18,5/2/18,2,2,2,2,2,2
City 1,11/2/18,5/2/18,6,5,5,5,5,11
City 1,11/2/18,5/2/18,167,158,48,48,48,40
City 1,11/2/18,5/2/18,1,1,1,1,1,1
City 1,12/2/18,12/2/18,2,2,2,2,2,3
City 1,12/2/18,12/2/18,52,47,32,32,32,32
City 1,13-02-2018,12/2/18,3,3,3,3,3,2
City 1,13-02-2018,12/2/18,71,65,31,31,31,27
City 1,13-02-2018,12/2/18,2,2,2,2,2,2
City 1,14-02-2018,12/2/18,3,3,3,3,3,2
City 1,14-02-2018,12/2/18,75,63,36,34,33,29
City 1,15-02-2018,12/2/18,35,33,6,6,6,3
City 1,15-02-2018,12/2/18,130,122,32,29,29,38
City 1,16-02-2018,12/2/18,3,2,2,2,2,2
City 1,16-02-2018,12/2/18,146,130,27,25,25,21
City 1,16-02-2018,12/2/18,1,0,0,0,0,0
City 1,17-02-2018,12/2/18,3,2,2,2,2,5
City 1,17-02-2018,12/2/18,108,88,47,41,40,33
City 1,17-02-2018,12/2/18,1,1,1,1,1,1
City 1,18-02-2018,12/2/18,156,102,40,40,40,31
City 1,18-02-2018,12/2/18,1,1,1,1,1,1
City 1,19-02-2018,19-02-2018,12,5,4,3,3,2
City 1,19-02-2018,19-02-2018,62,37,27,25,25,18
City 1,19-02-2018,19-02-2018,2,2,2,2,2,1
City 1,20-02-2018,19-02-2018,2,2,1,1,1,2
City 1,20-02-2018,19-02-2018,77,52,33,29,29,27
City 1,21-02-2018,19-02-2018,12,11,0,0,0,0
City 1,21-02-2018,19-02-2018,130,119,39,29,28,23
City 1,22-02-2018,19-02-2018,1,1,1,1,1,0
City 1,22-02-2018,19-02-2018,113,93,31,24,24,22
City 1,22-02-2018,19-02-2018,1,1,1,1,1,1
City 1,23-02-2018,19-02-2018,11,10,2,2,2,1
City 1,23-02-2018,19-02-2018,101,93,37,34,34,25
City 1,24-02-2018,19-02-2018,4,4,4,4,4,2
City 1,24-02-2018,19-02-2018,107,98,52,49,49,41
City 1,24-02-2018,19-02-2018,1,1,1,1,1,1
City 1,25-02-2018,19-02-2018,1,1,1,1,1,2
City 1,25-02-2018,19-02-2018,95,83,53,49,49,49
City 1,26-02-2018,26-02-2018,11,10,0,0,0,0
City 1,26-02-2018,26-02-2018,58,47,23,26,26,19
City 1,26-02-2018,26-02-2018,2,2,2,2,2,2
City 1,27-02-2018,26-02-2018,1,1,0,0,0,0
City 1,27-02-2018,26-02-2018,96,98,33,32,32,18
City 1,28-02-2018,26-02-2018,1,1,1,1,1,1
City 1,28-02-2018,26-02-2018,65,57,27,24,24,29
City 1,28-02-2018,26-02-2018,1,1,1,0,0,0
City 1,1/3/18,26-02-2018,54,39,26,24,24,23
City 1,2/3/18,26-02-2018,4,4,4,1,1,0
City 1,3/3/18,26-02-2018,0,0,0,0,0,1
City 1,3/3/18,26-02-2018,45,42,33,33,33,20
City 1,3/3/18,26-02-2018,1,1,1,1,1,1
City 1,4/3/18,26-02-2018,75,58,42,38,37,35
City 1,4/3/18,26-02-2018,3,2,2,2,2,2
City 1,5/3/18,5/3/18,91,72,36,32,32,30
City 1,6/3/18,5/3/18,24,21,3,3,3,3
City 1,6/3/18,5/3/18,132,94,50,46,46,35
City 1,6/3/18,5/3/18,1,1,1,1,1,1
City 1,7/3/18,5/3/18,7,2,2,2,2,1
City 1,7/3/18,5/3/18,90,60,35,35,35,39
City 1,7/3/18,5/3/18,2,2,2,2,2,1
City 1,8/3/18,5/3/18,2,2,2,2,2,1
City 1,8/3/18,5/3/18,142,105,34,30,30,34
City 1,8/3/18,5/3/18,4,1,1,1,1,1
City 1,9/3/18,5/3/18,2,2,2,2,2,1
City 1,9/3/18,5/3/18,142,102,43,36,36,24
City 1,9/3/18,5/3/18,4,1,1,1,1,1
City 1,10/3/18,5/3/18,4,3,3,3,3,3
City 1,10/3/18,5/3/18,134,112,56,43,43,45
City 1,10/3/18,5/3/18,1,1,1,1,1,1
City 1,11/3/18,5/3/18,2,1,1,1,1,3
City 1,11/3/18,5/3/18,133,121,71,64,64,43
City 1,11/3/18,5/3/18,1,0,0,0,0,0
City 1,12/3/18,12/3/18,3,3,2,2,2,1
City 1,12/3/18,12/3/18,82,50,35,29,29,36
City 1,12/3/18,12/3/18,1,1,1,1,1,1
City 1,13-03-2018,12/3/18,7,7,3,3,3,3
City 1,13-03-2018,12/3/18,73,64,37,32,32,27
City 1,13-03-2018,12/3/18,2,2,2,1,1,1
City 1,14-03-2018,12/3/18,1,0,0,0,0,0
City 1,14-03-2018,12/3/18,82,70,34,27,27,25
City 1,14-03-2018,12/3/18,1,1,1,1,1,1
City 1,15-03-2018,12/3/18,12,11,1,1,1,1
City 1,15-03-2018,12/3/18,79,71,33,31,29,26
City 1,15-03-2018,12/3/18,2,2,2,1,1,1
City 1,16-03-2018,12/3/18,2,2,2,2,2,1
City 1,16-03-2018,12/3/18,114,98,56,51,51,34
City 1,16-03-2018,12/3/18,1,1,1,1,1,1
City 1,17-03-2018,12/3/18,10,10,3,3,3,1
City 1,17-03-2018,12/3/18,116,91,71,68,68,58
City 1,17-03-2018,12/3/18,1,1,1,1,1,1
City 1,18-03-2018,12/3/18,1,1,1,1,1,2
City 1,18-03-2018,12/3/18,144,121,58,53,52,50
City 1,18-03-2018,12/3/18,5,5,5,5,5,5
City 1,19-03-2018,19-03-2018,2,2,1,1,1,1
City 1,19-03-2018,19-03-2018,94,69,45,42,43,37
City 1,20-03-2018,19-03-2018,5,5,1,1,1,1
City 1,20-03-2018,19-03-2018,80,69,42,36,36,30
City 1,20-03-2018,19-03-2018,2,0,0,0,0,0
City 1,21-03-2018,19-03-2018,4,2,2,2,2,2
City 1,21-03-2018,19-03-2018,72,42,37,32,31,28
City 1,21-03-2018,19-03-2018,2,1,1,1,1,1
City 1,22-03-2018,19-03-2018,12,12,0,0,0,0
City 1,22-03-2018,19-03-2018,59,47,36,33,32,28
City 1,22-03-2018,19-03-2018,3,2,2,2,2,2
City 1,23-03-2018,19-03-2018,1,0,0,0,0,0
City 1,23-03-2018,19-03-2018,119,70,44,43,39,27
City 1,23-03-2018,19-03-2018,17,4,4,4,4,3
City 1,24-03-2018,19-03-2018,1,0,0,0,0,0
City 1,24-03-2018,19-03-2018,78,67,47,43,43,41
City 1,24-03-2018,19-03-2018,4,3,3,3,3,3
City 1,25-03-2018,19-03-2018,2,2,2,2,2,0
City 1,25-03-2018,19-03-2018,82,66,54,51,45,46
City 1,25-03-2018,19-03-2018,1,1,1,1,1,1
City 1,26-03-2018,26-03-2018,0,0,0,0,0,1
City 1,26-03-2018,26-03-2018,52,37,35,33,33,20
City 1,27-03-2018,26-03-2018,6,4,3,3,3,3
City 1,27-03-2018,26-03-2018,106,61,35,33,33,29
City 1,27-03-2018,26-03-2018,1,2,2,2,2,0
City 1,28-03-2018,26-03-2018,4,2,3,3,3,2
City 1,28-03-2018,26-03-2018,57,37,35,35,35,30
City 1,28-03-2018,26-03-2018,2,2,2,2,2,2
City 1,29-03-2018,26-03-2018,4,3,3,3,3,0
City 1,29-03-2018,26-03-2018,84,56,44,38,38,33
City 1,29-03-2018,26-03-2018,13,2,2,1,1,1
City 1,30-03-2018,26-03-2018,3,1,1,1,1,2
City 1,30-03-2018,26-03-2018,175,67,55,53,53,46
City 1,30-03-2018,26-03-2018,5,2,2,2,2,2
City 1,31-03-2018,26-03-2018,118,90,88,85,85,68
City 1,31-03-2018,26-03-2018,5,3,3,3,3,2
City 1,1/4/18,26-03-2018,2,2,2,2,2,3
City 1,1/4/18,26-03-2018,153,49,43,39,38,40
City 1,1/4/18,26-03-2018,5,4,4,3,3,4
City 1,2/4/18,2/4/18,56,50,20,18,18,23
City 1,2/4/18,2/4/18,3,3,3,3,3,1
City 1,3/4/18,2/4/18,2,2,2,2,2,1
City 1,3/4/18,2/4/18,54,41,39,33,33,27
City 1,3/4/18,2/4/18,2,2,2,2,2,3
City 1,4/4/18,2/4/18,76,60,42,38,38,29
City 1,4/4/18,2/4/18,7,6,6,3,3,4
City 1,5/4/18,2/4/18,0,0,0,0,0,1
City 1,5/4/18,2/4/18,45,39,24,22,22,20
City 1,5/4/18,2/4/18,3,3,3,4,4,3
City 1,6/4/18,2/4/18,2,1,1,1,1,0
City 1,6/4/18,2/4/18,57,27,27,25,25,18
City 1,6/4/18,2/4/18,4,0,0,0,0,0
City 1,7/4/18,2/4/18,2,2,1,1,1,0
City 1,7/4/18,2/4/18,56,39,39,32,32,28
City 1,7/4/18,2/4/18,3,2,2,2,2,3
City 1,8/4/18,2/4/18,1,0,0,0,0,1
City 1,8/4/18,2/4/18,66,44,35,30,30,33
City 1,8/4/18,2/4/18,5,5,5,4,4,4
City 1,9/4/18,9/4/18,1,0,0,0,0,0
City 1,9/4/18,9/4/18,45,21,20,16,16,14
City 1,9/4/18,9/4/18,6,3,3,3,3,3
City 1,10/4/18,9/4/18,3,1,1,1,1,0
City 1,10/4/18,9/4/18,101,47,46,38,38,25
City 1,10/4/18,9/4/18,6,3,3,3,3,3
City 1,11/4/18,9/4/18,6,5,1,1,1,1
City 1,11/4/18,9/4/18,69,28,18,17,17,22
City 1,11/4/18,9/4/18,4,2,2,2,2,2
City 1,12/4/18,9/4/18,8,8,2,2,2,1
City 1,12/4/18,9/4/18,57,32,29,21,21,15
City 1,12/4/18,9/4/18,10,9,9,9,9,7
City 1,13-04-2018,9/4/18,5,2,2,2,2,2
City 1,13-04-2018,9/4/18,51,35,32,31,31,15
City 1,13-04-2018,9/4/18,6,4,4,4,4,3
City 1,14-04-2018,9/4/18,8,7,0,0,0,1
City 1,14-04-2018,9/4/18,63,46,44,34,33,34
City 1,14-04-2018,9/4/18,7,5,5,5,5,5
City 1,15-04-2018,9/4/18,3,1,1,1,1,1
City 1,15-04-2018,9/4/18,65,35,32,27,27,34
City 1,15-04-2018,9/4/18,9,3,3,3,3,3
City 1,16-04-2018,16-04-2018,15,12,3,3,3,0
City 1,16-04-2018,16-04-2018,52,26,24,19,19,12
City 1,16-04-2018,16-04-2018,6,3,3,2,2,2
City 1,17-04-2018,16-04-2018,4,2,2,2,2,1
City 1,17-04-2018,16-04-2018,75,50,24,20,20,18
City 1,17-04-2018,16-04-2018,8,0,0,0,0,0
City 1,18-04-2018,16-04-2018,3,2,2,2,2,2
City 1,18-04-2018,16-04-2018,27,25,14,12,12,15
City 1,18-04-2018,16-04-2018,4,3,3,3,3,3
City 1,19-04-2018,16-04-2018,2,1,1,1,1,2
City 1,19-04-2018,16-04-2018,76,67,34,28,27,16
City 1,19-04-2018,16-04-2018,1,0,0,0,0,1
City 1,20-04-2018,16-04-2018,12,11,0,0,0,1
City 1,20-04-2018,16-04-2018,41,33,24,20,19,16
City 1,20-04-2018,16-04-2018,1,1,1,1,1,1
City 1,21-04-2018,16-04-2018,2,2,2,2,2,0
City 1,21-04-2018,16-04-2018,58,50,37,34,31,25
City 1,21-04-2018,16-04-2018,4,4,4,4,4,4
City 1,22-04-2018,16-04-2018,6,6,0,0,0,1
City 1,22-04-2018,16-04-2018,62,57,44,36,35,30
City 1,22-04-2018,16-04-2018,2,2,2,2,2,2
City 1,23-04-2018,23-04-2018,5,4,3,3,3,1
City 1,23-04-2018,23-04-2018,34,29,18,17,17,19
City 1,23-04-2018,23-04-2018,3,3,3,1,1,1
City 1,24-04-2018,23-04-2018,2,1,1,1,1,1
City 1,24-04-2018,23-04-2018,90,38,27,22,22,24
City 1,24-04-2018,23-04-2018,15,7,7,6,6,5
City 1,25-04-2018,23-04-2018,15,15,0,0,0,1
City 1,25-04-2018,23-04-2018,72,43,33,32,30,21
City 1,25-04-2018,23-04-2018,6,3,3,3,3,4
City 1,26-04-2018,23-04-2018,61,34,25,23,23,16
City 1,26-04-2018,23-04-2018,5,1,1,1,1,1
City 1,27-04-2018,23-04-2018,4,3,3,3,3,2
City 1,27-04-2018,23-04-2018,68,29,25,23,23,17
City 1,27-04-2018,23-04-2018,7,2,2,1,1,1
City 1,28-04-2018,23-04-2018,1,1,0,0,0,0
City 1,28-04-2018,23-04-2018,53,31,31,28,28,14
City 1,28-04-2018,23-04-2018,7,3,3,3,3,3
City 1,29-04-2018,23-04-2018,4,4,4,4,4,0
City 1,29-04-2018,23-04-2018,63,36,35,31,31,25
City 1,29-04-2018,23-04-2018,6,2,2,2,2,2
City 1,30-04-2018,30-04-2018,4,2,2,2,2,2
City 1,30-04-2018,30-04-2018,42,28,18,18,18,18
City 1,30-04-2018,30-04-2018,9,4,4,4,4,4
City 1,1/5/18,30-04-2018,5,4,4,4,4,4
City 1,1/5/18,30-04-2018,90,49,30,23,23,28
City 1,1/5/18,30-04-2018,11,6,6,6,6,5
City 1,2/5/18,30-04-2018,3,2,2,2,2,0
City 1,2/5/18,30-04-2018,65,46,30,28,27,21
City 1,2/5/18,30-04-2018,4,3,3,3,3,3
City 1,3/5/18,30-04-2018,2,1,1,1,1,0
City 1,3/5/18,30-04-2018,55,46,25,23,23,18
City 1,3/5/18,30-04-2018,3,3,3,3,3,3
City 1,4/5/18,30-04-2018,0,0,0,0,0,2
City 1,4/5/18,30-04-2018,43,31,25,22,22,18
City 1,4/5/18,30-04-2018,3,1,1,1,1,1
City 1,5/5/18,30-04-2018,2,2,2,2,2,0
City 1,5/5/18,30-04-2018,68,60,47,38,38,33
City 1,5/5/18,30-04-2018,6,5,5,5,5,5
City 1,6/5/18,30-04-2018,0,0,0,0,0,1
City 1,6/5/18,30-04-2018,32,25,24,23,23,30
City 1,6/5/18,30-04-2018,1,1,1,1,1,1
City 1,7/5/18,7/5/18,43,34,30,27,23,16
